[NR_004404, 1]
[NM_001048194, 19]
[NM_001048195, 19]
[NM_001269, 19]
[NM_017846, 8]
[NR_003109, 8]
[NR_024127, 3]
[NM_001193532, 5]
[NM_152304, 5]
[NM_001135218, 9]
[NM_005644, 9]
[NM_006582, 12]
[NM_024482, 12]
[NM_001172828, 101]
[NM_001173128, 101]
[NM_016258, 101]
[NM_001166005, 60]
[NM_001166006, 10]
[NM_203342, 60]
[NM_203343, 60]
[NM_001166007, 60]
[NM_004437, 60]
[NM_001003682, 21]
[NM_001171868, 21]
[NM_005626, 59]
[NM_001024732, 9]
[NM_016011, 9]
[NM_001195001, 5]
[NM_005704, 5]
[NM_133177, 5]
[NM_133178, 5]
[NR_034182, 1]
[NM_006762, 85]
[NM_014654, 19]
[NM_001020658, 112]
[NM_014676, 112]
[NM_004814, 25]
[NM_001282566, 32]
[NM_001282567, 32]
[NM_001282568, 32]
[NM_001282569, 32]
[NM_001282570, 32]
[NM_001282572, 27]
[NM_001282573, 27]
[NM_001282574, 30]
[NM_016505, 32]
[NM_001282571, 29]
[NM_004102, 32]
[NM_001199037, 86]
[NM_001199038, 86]
[NM_001199039, 86]
[NM_018565, 86]
[NM_178865, 86]
[NR_034112, 1]
[NR_027085, 2]
[NM_001204414, 69]
[NM_022164, 72]
[NM_001204415, 63]
[NM_012392, 67]
[NR_033686, 62]
[NR_033688, 67]
[NM_001856, 7]
[NM_001294335, 2]
[NM_001294336, 2]
[NM_001195100, 243]
[NM_001195101, 241]
[NM_080391, 245]
[NM_001271878, 141]
[NM_006559, 146]
[NR_073498, 147]
[NR_073499, 49]
[NM_018056, 6]
[NM_012316, 112]
[NM_175852, 88]
[NM_001301011, 2]
[NM_024296, 2]
[NM_001160042, 6]
[NM_018134, 6]
[NM_019118, 8]
[NM_003757, 72]
[NR_026850, 1]
[NM_032648, 5]
[NM_004964, 76]
[NM_023009, 24]
[NR_052852, 24]
[NM_052841, 2]
[NM_001143888, 57]
[NM_001143889, 55]
[NM_001143890, 55]
[NM_018045, 56]
[NR_125352, 56]
[NM_001300958, 57]
[NM_001145720, 1]
[NM_001040441, 46]
[NM_001291496, 46]
[NR_111980, 43]
[NM_178547, 14]
[NM_001135256, 132]
[NM_005610, 132]
[NM_001135255, 132]
[NM_001161708, 66]
[NM_030786, 66]
[NM_001198972, 88]
[NM_001198973, 74]
[NM_020888, 88]
[NM_003680, 47]
[NM_001256121, 25]
[NM_022753, 25]
[NM_153756, 1]
[NM_001171941, 1]
[NM_033504, 11]
[NM_001300826, 19]
[NM_153341, 19]
[NM_001127361, 19]
[NM_001199199, 129]
[NM_013411, 133]
[NR_037591, 134]
[NM_001625, 84]
[NR_037592, 85]
[NM_001293562, 2]
[NM_001301823, 2]
[NM_001301824, 2]
[NM_001301825, 2]
[NM_052998, 2]
[NM_018207, 5]
[NM_152493, 16]
[NM_004427, 143]
[NM_198040, 144]
[NM_145238, 4]
[NM_001281956, 3]
[NM_052896, 3]
[NM_002060, 14]
[NM_001164824, 54]
[NM_001164825, 54]
[NM_138428, 54]
[NM_001080418, 1]
[NR_037869, 2]
[NM_001195156, 20]
[NM_007167, 45]
[NM_001289088, 32]
[NM_001289089, 32]
[NM_001289090, 32]
[NM_001289091, 32]
[NM_024772, 32]
[NM_005066, 211]
[NM_005095, 64]
[NM_024874, 56]
[NM_001014839, 21]
[NM_001014841, 21]
[NM_014284, 21]
[NM_001199779, 72]
[NM_001199780, 62]
[NM_002794, 72]
[NM_152374, 13]
[NM_001190481, 7]
[NM_022111, 7]
[NM_017629, 22]
[NM_012199, 30]
[NM_024852, 11]
[NM_177422, 10]
[NM_014466, 1]
[NM_017825, 19]
[NM_001294347, 3]
[NM_005202, 3]
[NM_001270894, 51]
[NM_001270895, 48]
[NM_001270896, 50]
[NM_001270897, 44]
[NM_014408, 50]
[NR_073097, 44]
[NR_073098, 35]
[NM_001286365, 43]
[NM_001286366, 42]
[NM_018067, 43]
[NM_005119, 125]
[NM_001162530, 5]
[NM_024676, 5]
[NM_018166, 7]
[NM_001282546, 36]
[NM_001282547, 36]
[NM_032017, 36]
[NM_032881, 11]
[NM_145047, 9]
[NM_206837, 3]
[NM_031280, 22]
[NM_000760, 1]
[NM_156039, 1]
[NM_172313, 1]
[NR_038842, 2]
[NM_025079, 2]
[NM_001270876, 42]
[NM_001270875, 54]
[NM_022756, 54]
[NR_073090, 55]
[NR_073091, 55]
[NR_073092, 54]
[NM_024700, 26]
[NM_003462, 29]
[NM_013285, 24]
[NM_001038633, 3]
[NM_001242908, 3]
[NM_001242909, 2]
[NM_001242910, 3]
[NM_001303030, 26]
[NM_001303031, 26]
[NM_017850, 25]
[NM_001099439, 1]
[NM_173641, 4]
[NM_001113482, 8]
[NM_152496, 8]
[NM_001031740, 6]
[NM_024640, 25]
[NM_001142726, 24]
[NM_198446, 24]
[NM_005955, 29]
[NM_001297434, 22]
[NM_005540, 22]
[NM_006802, 65]
[NM_001243878, 6]
[NM_004468, 6]
[NM_016037, 27]
[NM_002699, 2]
[NM_001271851, 72]
[NM_022157, 72]
[NM_012333, 42]
[NR_037632, 42]
[NR_037633, 44]
[NR_037634, 43]
[NR_037635, 43]
[NR_037636, 43]
[NR_037637, 43]
[NM_030772, 2]
[NM_017821, 5]
[NM_001136275, 152]
[NM_024595, 161]
[NM_001184979, 104]
[NM_004552, 104]
[NM_012090, 226]
[NM_015038, 16]
[NM_181809, 9]
[NR_003929, 10]
[NM_001135653, 75]
[NM_001135654, 75]
[NM_003819, 75]
[NR_125979, 11]
[NM_014571, 38]
[NM_001282396, 29]
[NM_001282397, 29]
[NM_016257, 29]
[NM_001195007, 9]
[NM_006112, 19]
[NM_203456, 8]
[NR_036543, 19]
[NR_036544, 19]
[NM_001720, 1]
[NM_017646, 13]
[NM_001033081, 9]
[NM_001033082, 9]
[NM_005376, 2]
[NM_001136493, 18]
[NM_032793, 18]
[NR_109896, 17]
[NM_001287809, 16]
[NM_001287808, 15]
[NM_001105530, 289]
[NM_006367, 289]
[NM_000310, 111]
[NM_001142604, 108]
[NM_012421, 35]
[NM_005857, 181]
[NM_001852, 12]
[NM_022733, 28]
[NM_001198978, 25]
[NM_001198979, 25]
[NM_001198980, 25]
[NM_023070, 2]
[NM_198494, 6]
[NM_022774, 9]
[NM_152373, 22]
[NM_014747, 4]
[NR_024567, 11]
[NM_001142587, 33]
[NM_001142588, 34]
[NM_001142589, 33]
[NM_014223, 34]
[NM_001142590, 32]
[NM_004700, 1]
[NM_172163, 1]
[NM_133467, 8]
[NM_001905, 26]
[NR_125440, 27]
[NM_001301237, 22]
[NM_001031694, 32]
[NM_001172218, 32]
[NM_001172219, 31]
[NM_001172220, 31]
[NM_001172221, 31]
[NM_001172222, 28]
[NM_012236, 32]
[NR_037868, 11]
[NM_001291281, 1]
[NM_001127714, 6]
[NM_024503, 6]
[NR_038260, 1]
[NR_038261, 1]
[NM_001198850, 89]
[NM_001198851, 89]
[NM_001198852, 89]
[NM_014947, 89]
[NM_173642, 12]
[NM_001146192, 3]
[NM_032257, 3]
[NM_001287508, 67]
[NM_001287511, 3]
[NM_024664, 68]
[NM_001287510, 68]
[NM_001077447, 66]
[NM_001287506, 66]
[NM_001287509, 66]
[NM_001287507, 67]
[NM_001080850, 7]
[NM_006347, 4]
[NM_004559, 342]
[NM_148960, 14]
[NM_001123395, 20]
[NM_001185117, 20]
[NM_001146289, 13]
[NM_022356, 13]
[NM_001243246, 13]
[NM_024097, 6]
[NR_040733, 6]
[NM_199342, 7]
[NM_001017922, 22]
[NM_018538, 22]
[NM_001242739, 8]
[NM_015911, 8]
[NR_104171, 1]
[NM_006516, 52]
[NM_001159936, 43]
[NM_006824, 43]
[NM_001167965, 2]
[NM_001195831, 3]
[NM_152498, 2]
[NM_144626, 11]
[NM_001164829, 16]
[NM_182517, 17]
[NM_001253357, 13]
[NM_005424, 13]
[NM_005373, 6]
[NM_001256399, 62]
[NM_001256401, 63]
[NM_001256402, 59]
[NM_022821, 63]
[NR_046117, 56]
[NM_052877, 30]
[NM_001001653, 33]
[NM_201542, 33]
[NM_015284, 29]
[NM_001190880, 10]
[NM_001243526, 10]
[NM_031207, 10]
[NM_002840, 126]
[NM_130440, 126]
[NM_014663, 14]
[NR_033827, 1]
[NM_001270459, 3]
[NM_001270460, 4]
[NM_001270461, 3]
[NM_001270462, 3]
[NM_001270464, 2]
[NM_001270466, 2]
[NM_006279, 4]
[NM_174966, 3]
[NM_174967, 2]
[NM_174968, 4]
[NM_174969, 4]
[NM_174970, 2]
[NM_174971, 4]
[NR_073016, 4]
[NR_073017, 4]
[NR_073018, 3]
[NR_073019, 4]
[NR_073020, 3]
[NR_073021, 2]
[NR_073023, 3]
[NM_001270463, 2]
[NM_001270465, 2]
[NM_174963, 4]
[NM_174964, 4]
[NM_174965, 2]
[NM_014652, 40]
[NM_001039589, 12]
[NM_001384, 16]
[NM_001039457, 78]
[NM_001294333, 86]
[NM_004047, 78]
[NM_001005417, 11]
[NM_003780, 11]
[NM_030587, 11]
[NM_152499, 5]
[NM_001024845, 6]
[NM_001261380, 6]
[NM_006934, 6]
[NM_201649, 6]
[NR_048548, 6]
[NR_048549, 6]
[NM_019100, 10]
[NM_001034023, 9]
[NM_001034024, 9]
[NM_001301698, 21]
[NM_001301699, 20]
[NM_001301700, 20]
[NM_001301701, 16]
[NM_024066, 21]
[NM_018150, 23]
[NM_001300748, 5]
[NM_001300747, 5]
[NM_001300746, 5]
[NM_024587, 6]
[NM_001012, 324]
[NR_001457, 1]
[NM_004073, 1]
[NM_001136537, 2]
[NM_001261418, 10]
[NM_020365, 10]
[NM_001166588, 9]
[NM_024602, 49]
[NM_000374, 34]
[NR_036510, 34]
[NM_020883, 12]
[NM_001048171, 3]
[NM_001048172, 3]
[NM_001048173, 3]
[NM_001048174, 3]
[NM_001128425, 3]
[NM_001293190, 3]
[NM_001293191, 3]
[NM_001293192, 3]
[NM_001293195, 3]
[NM_001293196, 3]
[NM_012222, 3]
